OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,MV_STORE,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,PAGE_STORE,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,config,workload,throughput
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,35,smallbank-1,18965.738819017573
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,35,tpcc-2,713.2716631390168
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,35,smallbank-10,12629.837576710308
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,35,ycsb-2400,14230.818720490834
False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,36,ycsb-2400,13797.868751010934
False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,36,tpcc-2,698.2164273995339
False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,36,smallbank-10,12665.63585812732
False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,36,ycsb-600,21967.73491612897
False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,36,smallbank-1,18812.156212696013
False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,36,tpcc-8,582.048993103746
False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,36,voter-16,30853.016656896543
False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,36,voter-2,28660.549926915595
False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,37,tpcc-2,880.8329096233427
False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,37,smallbank-10,18272.89248923209
False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,37,ycsb-2400,18632.41891232401
False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,37,voter-16,47659.89985145998
False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,37,voter-2,46984.983327068665
False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,37,ycsb-600,26644.815528178307
False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,37,smallbank-1,25552.80593192113
False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,37,tpcc-8,505.9945621776392
False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,38,voter-2,29671.216580125616
False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,38,voter-16,30320.33329442224
False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,38,smallbank-1,22112.994749105896
False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,38,tpcc-8,658.9216952167478
False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,38,ycsb-600,24542.191288598417
False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,38,smallbank-10,13463.51593806993
False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,38,tpcc-2,786.9420008526026
False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,38,ycsb-2400,15390.511584639373
False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,39,smallbank-1,25871.51311822529
False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,39,tpcc-8,960.391341639879
False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,39,ycsb-600,26297.66753593728
False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,39,voter-2,47338.599943982656
False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,39,voter-16,46758.98326319486
False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,39,ycsb-2400,16597.669316314244
False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,39,smallbank-10,18145.86437694635
False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,39,tpcc-2,892.0227076331752
False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,40,smallbank-10,17667.537521418246
False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,40,tpcc-2,874.1130045993709
False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,40,ycsb-2400,19841.96712297597
False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,40,voter-2,47393.68326382261
False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,40,voter-16,48814.11664470031
False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,40,tpcc-8,982.482643597768
False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,40,smallbank-1,25814.818538175063
False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,40,ycsb-600,26783.544140373964
False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,41,ycsb-2400,12415.484645162218
False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,41,smallbank-10,17476.82925590231
False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,41,tpcc-2,842.5800718463053
False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,41,tpcc-8,295.5465298108656
False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,41,smallbank-1,23888.24268818701
False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,41,ycsb-600,18433.80851864456
False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,41,voter-2,46232.13327939584
False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,41,voter-16,45564.383152594615
False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,42,voter-2,32734.849910524747
False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,42,voter-16,32193.683309724634
False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,42,smallbank-1,19997.917735046907
False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,42,tpcc-8,459.563262635624
False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,42,ycsb-600,22889.545138448186
False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,42,smallbank-10,15111.16238446512
False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,42,tpcc-2,767.4536731259722
False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,42,ycsb-2400,16707.92581100969
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,43,smallbank-1,25163.940419695005
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,43,tpcc-8,997.771436837974
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,43,ycsb-600,26399.541641273445
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,43,voter-2,47482.53321067012
